÷,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,Label
881.7089696,941.9055873,739.5632481,86.61976085,669.1541555,410.3037219,470.7009995,49.14839035,191.0621393,790.5136075,PortScan
299.9293975,474.3086649,168.0200522,354.7972897,399.9830183,57.39184369,583.3072482,884.343428,151.742913,597.8080134,DoS
629.5576969,54.33203482,748.6452341,317.5867953,0.134693004,511.1291392,46.85190853,276.1695578,706.9764875,62.68962162,BENIGN
735.5207058,663.7916239,113.3870956,720.6162907,500.3051564,894.0995361,919.8709341,55.1565906,820.6415604,37.69739042,PortScan
437.6613281,234.973405,704.87101,817.128142,546.4303161,967.0352753,51.66872166,504.7955983,718.4539473,862.6404711,BENIGN
335.8163646,615.069754,926.9075621,962.0584989,508.9590404,452.8248053,278.6943159,958.8718732,142.8143045,579.829576,DoS
579.7714418,540.2172668,50.32293293,62.90747602,187.3467913,32.47077169,743.3528956,723.330304,136.0562344,836.0789008,PortScan
287.4025338,557.8791836,304.3075918,86.45750712,1.428343079,449.5833529,836.8634222,572.3151856,999.2072989,286.8466456,PortScan
794.8113035,502.6370931,576.9038846,492.5176938,195.2429878,722.4521153,280.7723624,24.31596643,645.4722959,177.1106794,BENIGN
718.699266,586.2354988,492.3670487,192.3157728,463.9362635,245.818587,914.8421499,335.4068135,952.2640145,533.0552901,DoS
277.0692497,940.8801696,124.3458414,875.1336186,970.9402496,177.1535232,722.0660642,40.28551878,405.4228251,516.2832992,DoS
775.6118509,964.4766539,203.7664591,523.3296312,287.1379581,792.854419,577.5933659,634.5824176,797.9141596,395.9704727,BENIGN
713.3495859,895.2068377,511.6774421,532.1134853,107.1720113,447.4123668,532.6172665,242.4705036,269.2432309,377.2841631,BENIGN
374.552887,166.8602017,430.5293385,142.5941441,890.0970352,345.8774607,154.4597472,25.44775991,645.8223863,636.9023175,BENIGN
611.4636112,678.4999683,317.5497003,848.109235,947.1614629,884.8551177,739.0669759,277.4646797,281.6160421,963.3603204,DoS
639.2628832,75.14295318,134.2024263,644.7567266,339.6606205,707.9478267,557.4247447,256.0211731,650.8279505,116.2736803,PortScan
225.6645831,211.7981499,792.5397676,186.9072965,66.65982982,998.5608066,24.81721145,835.2440602,365.3668416,841.6154598,PortScan
463.8098247,173.9773995,337.4770457,18.08109221,400.3298684,549.8769212,619.5825928,663.4903451,836.2913131,215.4629073,PortScan
335.2080474,173.7615931,712.0140203,825.9782127,100.6374785,239.8741128,141.9719898,347.9414116,450.3509789,748.826337,BENIGN
332.1725221,700.808418,765.3162995,929.4034838,204.8024091,797.9980352,738.5460534,63.79455625,387.2231412,282.7654571,DoS
341.8490419,433.6943313,848.4717744,363.2553517,793.9351335,940.9923226,623.2103731,741.6272875,805.097312,845.0396489,DoS
130.9312521,696.2214361,206.0737799,441.2296691,65.00078895,825.3084024,125.940641,903.097507,864.2306023,464.5827644,PortScan
268.797615,198.6445769,246.8570276,306.4154494,555.1337868,587.9916295,426.4997472,615.4207798,81.57492561,87.78823706,DoS
229.365777,469.107211,268.5621675,100.9781068,167.4910891,147.2755636,973.0767979,759.2925069,967.7614653,439.7404865,DoS
156.3621416,751.7981636,568.2686163,274.6658698,474.4349141,333.7765971,579.3134028,889.0006108,569.3049844,631.7224183,DoS
792.5951163,907.8987938,943.7015928,960.1356044,521.4596387,977.307908,757.3102071,161.6714362,476.9001065,718.3311754,BENIGN
227.7497361,964.0288472,909.4546109,722.1432355,533.3866288,869.9691596,130.6523438,790.5097943,124.820814,794.2106625,BENIGN
162.2334058,12.60751998,559.7556836,527.3996221,719.3536224,890.258053,79.40658464,731.4964903,187.4119441,858.1770532,BENIGN
971.395094,180.9769527,854.3850934,492.2778564,247.2310744,870.7499013,445.305255,514.8173539,359.2333694,592.9508514,BENIGN
573.9498661,392.8951089,28.65242758,583.2523923,11.30253659,787.3719581,306.4328227,40.25800301,588.352221,397.6844144,DoS
285.7583246,432.7668796,685.4438832,332.4561571,56.58565615,373.921047,944.4485827,641.7343973,671.4791487,632.2821536,DoS
607.3244168,88.57833964,676.8722758,64.09471104,596.1426495,739.5811772,210.9698906,841.6220075,30.35380553,843.8128637,DoS
84.83771409,986.6395785,374.2707958,370.6421471,812.7995673,947.2485774,986.0010638,753.3781853,376.2595855,83.5007167,BENIGN
431.3017063,379.0404854,915.0607325,251.1692675,844.2123253,484.0205725,514.0954426,308.4682815,573.0422006,325.2111963,DoS
649.8639217,24.69729769,810.2591305,536.57819,278.2171871,61.60798529,162.4984155,895.0338589,686.0242239,249.9017216,PortScan
161.4578341,471.7398375,553.4717762,570.2869387,210.1071929,742.2713923,25.19909482,354.8318555,780.2126485,563.8929211,DoS
27.16742123,65.20459126,463.9313768,909.2202059,538.701798,497.812508,105.4737,656.7801047,822.1031606,380.4200075,BENIGN
186.1014178,802.6433098,458.1868867,482.9688721,133.4799724,80.60151376,727.939307,496.4611524,436.8507026,729.5082287,BENIGN
655.4359784,233.1875544,864.4029872,309.3685621,694.131654,16.12464637,372.6571299,351.709818,543.4844286,72.73626178,PortScan
616.6219782,40.33385214,326.1702541,468.5569946,147.9583341,984.6544776,209.0973646,130.35313,203.5348739,769.0611332,DoS
451.294113,183.4421964,854.9740196,882.5598768,466.3097561,75.69972731,387.8260899,803.5376595,901.7740285,203.4727425,DoS
261.1624325,694.9531193,567.3909442,796.2436095,735.0251862,610.107922,488.1776753,133.1821257,261.3330179,419.0994729,DoS
120.4818224,851.5371719,156.6128149,974.7600813,842.5382294,500.8766059,981.4214249,97.37672911,303.0657612,638.224415,PortScan
996.224493,474.5335626,816.0567571,432.0672851,796.3907226,595.4148016,886.5954415,410.9425524,604.3044198,630.0186806,DoS
85.59955282,183.4578848,758.403673,21.98652204,816.8779859,13.94901869,657.1188391,365.0939202,611.4948527,696.031407,PortScan
371.1129384,920.7666085,584.4489098,538.3319433,268.8535144,368.4489199,895.3460892,666.4630475,787.3870268,454.3454231,DoS
912.3633456,210.662189,622.9665836,631.5602201,733.1130224,131.5676851,715.8249647,909.0325207,179.6831089,237.5433249,BENIGN
199.0823128,587.7032283,64.04352386,862.4341301,961.4996792,246.7474207,450.0952686,22.13445103,640.7102247,413.9260581,PortScan
571.2604699,143.0011227,374.5482434,797.7322633,367.3907287,87.0172183,556.7849109,845.1208515,795.9263871,175.1231401,DoS
423.7701199,342.1326001,961.5507321,444.8524328,489.0484004,351.6498723,909.548473,568.9554833,762.1745872,811.8067184,DoS
168.9350631,278.590339,177.0104843,88.70253376,120.6358711,460.778768,206.3337184,364.269861,503.4172709,690.3948286,BENIGN
756.3560547,794.1345617,494.5970528,894.7475708,267.6684372,410.5986972,898.5969106,896.2567165,685.7127688,858.9805471,PortScan
386.0509357,966.70614,697.1662543,83.22306621,862.9596233,480.5599408,68.75390642,549.7172552,417.164279,877.7494049,DoS
827.5378956,733.6143806,769.3048936,11.03126443,416.1539982,481.3441516,19.19227682,259.8132087,760.2898231,137.1097057,BENIGN
603.2454227,227.2610536,543.7870704,694.9701331,515.1670284,990.2851706,611.3416562,370.9737126,772.1520276,170.4625116,DoS
356.0967259,986.5152488,605.7748194,237.2267917,101.7824726,152.8591392,245.9577284,160.6813733,186.5670241,285.0951687,BENIGN
191.2891567,407.4052716,936.9492539,377.2519857,664.0741212,255.0872224,127.033576,58.53660008,305.4134985,157.6610268,PortScan
503.8887968,708.7656323,248.9435248,324.4382286,334.2153373,25.74240975,341.0478728,803.3045735,897.2984957,518.2183156,PortScan
692.0112559,457.9289944,226.521626,613.9703063,252.8581183,577.6317543,359.208747,823.5522266,820.6961608,477.3503981,DoS
981.2575774,381.6164991,775.2345389,342.5910828,627.6688772,192.0160847,146.0210193,938.0641396,917.6472779,887.4689402,DoS
305.3106767,212.6443764,33.18935456,303.9464012,653.1627905,938.3048184,871.2044823,766.0647765,788.4473433,664.9849035,BENIGN
243.614792,798.5558381,107.0291342,780.6993042,910.1961241,382.8333948,630.635295,430.1427321,437.765055,310.3708891,DoS
275.2882135,156.2065687,635.9403268,599.3021161,179.3560103,705.1391456,455.1719917,667.7605916,837.3670798,169.7284286,DoS
289.7279837,238.7517711,213.5428545,411.1443365,704.0314526,217.4529322,366.6788797,390.9174268,976.4565294,954.6663569,DoS
720.2679239,687.2830044,95.75419866,922.5724049,568.4722022,363.7255211,756.5385835,257.3654584,693.509837,39.71120757,PortScan
862.6751629,443.3203208,585.8630505,976.0783325,532.3043638,905.3218284,83.03875781,191.0518687,440.7549434,584.7568083,PortScan
455.5016952,30.8246187,879.2043376,13.01021343,944.7500802,489.2162487,341.9344936,924.2184348,24.39099311,581.4248949,PortScan
832.3635397,805.6488054,224.3185589,226.079071,817.3053122,930.3984202,95.36092127,450.0586394,337.454279,870.6884555,DoS
151.6748797,311.7220678,248.4891398,743.9462926,33.53243474,569.8896849,762.4586857,876.7656368,342.0817487,821.2573047,BENIGN
118.3361909,409.9048897,839.8022856,383.8329519,571.8722712,587.7693609,184.4762531,362.2354417,334.5112887,26.19670853,BENIGN
361.7683119,524.2547205,670.7273254,269.4394463,277.5228049,933.413127,723.5345733,577.1866762,647.7200544,29.2994431,PortScan
836.9278328,995.4836107,22.5685832,112.8581447,609.4677634,820.5764393,285.2443423,239.211088,786.9757994,56.38185385,PortScan
294.8172383,354.5482088,564.5940813,252.3227443,915.2899404,265.6855649,895.8157316,103.4750636,656.5627024,906.9855184,DoS
934.4330388,689.0876537,823.2732127,556.1906926,779.5167014,16.20039734,818.3804248,40.13885909,889.9133764,991.9627472,DoS
318.0396117,924.6417911,56.22429485,485.6342984,912.8008004,610.3630078,546.4070742,249.7441792,343.2754891,852.0484158,DoS
368.3472138,432.3462264,31.14909279,259.5764493,33.67640387,879.1857726,243.3966832,557.3371696,38.97932066,666.8473913,DoS
274.5445847,824.0944905,5.324190571,564.8191629,339.2034313,322.6837071,644.9063239,851.4844493,609.1953914,853.1729786,PortScan
104.2248028,384.5113276,487.6670686,652.2242595,950.5310526,600.6510665,743.5939162,506.2660595,634.1040314,70.93221613,BENIGN
790.1313737,217.7808018,677.0378149,803.2121232,561.8769562,740.8832067,661.8603122,355.5297972,808.858539,294.7013699,PortScan
850.6160578,561.2227883,523.3909114,114.7688719,860.1396933,722.8143032,67.6683619,707.8350972,543.5382173,81.72534575,BENIGN
536.4103831,437.148105,267.8735828,604.0049977,871.3335923,998.9046998,607.7627687,404.7058743,225.2071002,257.0960894,PortScan
695.6181465,3.218263604,619.5893375,355.4930104,794.1973313,92.99063982,588.2022669,480.9728899,642.3255259,64.85359448,BENIGN
599.3635517,418.7589905,431.8436923,53.93258284,516.5465104,504.7394754,149.5493186,103.8393861,123.5724906,101.0282465,PortScan
363.5144574,641.0060573,901.2592078,163.920262,381.4088099,140.868604,624.9437704,728.8705095,931.9127326,278.8719263,PortScan
603.7551438,163.931721,735.9535605,301.2312948,463.3910088,599.430542,171.2734107,741.6378186,302.6403406,662.3718599,PortScan
168.8100058,853.9428821,13.22881291,511.7804566,769.4425794,934.7955175,909.2021362,819.6248695,888.1913497,199.2196858,DoS
821.5776918,554.4891143,179.7978135,467.758231,968.0725029,752.986193,811.1626039,32.82549882,467.8594626,646.6211337,PortScan
53.63479152,717.4649906,475.4757152,849.09802,383.3971411,168.2785885,836.4421925,548.9096316,189.1957924,720.3839986,DoS
435.589158,414.8468503,732.7234154,685.8762751,833.271282,249.9589812,609.5285098,585.1947854,369.7378109,486.0575419,PortScan
920.1138133,470.2962227,28.99674434,689.8210713,481.8372536,124.3453174,214.2718093,64.49068046,574.2935397,622.0294793,PortScan
82.79866793,603.1521095,245.3491097,389.295614,288.6937368,355.6727165,719.0459052,297.1217156,566.4046403,476.0504022,BENIGN
732.2905674,776.9463884,872.4628151,215.6397627,83.8041591,482.8944366,514.0806956,829.1817799,443.7835793,570.8530255,PortScan
204.3163834,507.805064,419.2716612,18.12404105,792.7581136,69.04590631,474.255021,560.6782949,628.4264566,688.6316293,DoS
265.3261376,601.5538793,296.5599122,714.4241641,759.0052825,102.5159641,513.8544642,508.8905556,369.2807702,932.9248626,BENIGN
915.0900684,533.0288672,157.9548228,695.8991182,793.2613504,316.7616771,857.179257,906.1432548,276.9044874,983.5214727,BENIGN
123.2837793,518.5616887,245.8474425,358.1397165,989.5053334,684.3142489,948.980667,142.556555,382.1394748,554.7318033,DoS
200.4690478,413.4657667,206.2027159,876.5604908,158.2862561,455.6608216,605.6992405,691.8639082,383.0693697,869.0990687,PortScan
693.9484445,542.7244433,251.7990589,345.6959935,181.5977168,908.4505613,583.3917948,400.8514168,462.0058036,947.2833396,BENIGN
208.882724,368.7071709,369.813256,52.35502019,767.5676285,416.5044319,822.1798868,850.3480011,211.9940547,657.3534822,BENIGN
969.4393757,693.2095422,70.91619144,189.3608758,771.3231432,841.43976,617.6945862,644.4231696,28.33745038,828.5302596,PortScan
162.6608151,734.3656765,208.8309355,58.56530528,552.3661378,595.2297327,871.9130613,576.9816124,345.4808537,803.0118815,DoS
205.84121,111.9196194,269.7496115,57.08685609,531.169528,936.6056923,39.34354067,122.109914,452.1990283,933.8750175,BENIGN
842.9454825,445.8866199,708.5835458,731.8727373,173.9637059,361.216059,637.3021565,70.69660818,361.5401878,534.7994663,DoS
286.2243072,460.1026266,193.447228,210.3720815,23.04708841,896.7465499,210.7066651,227.5338769,279.6014326,127.4080717,PortScan
750.2657639,152.0485674,458.3235946,351.2193873,93.77652626,486.1304852,920.7396503,40.05911905,291.4609135,207.5409362,DoS
86.92028809,537.1065418,586.841118,745.4394742,431.6595462,127.5803028,283.7759058,363.0822964,645.9172413,570.7783047,BENIGN
150.4954981,503.5700744,801.6425898,441.5340104,490.6135759,848.7675853,706.0581146,490.4544085,257.6956482,884.9267468,PortScan
230.4166621,1.473822086,729.3447941,966.8454998,224.2934833,663.0471918,741.896327,848.4253791,422.629197,302.9309056,BENIGN
623.1378537,356.0672991,788.913963,233.6904488,639.2018294,235.6825346,713.6602831,873.6780346,126.8017991,866.5956886,PortScan
393.1704346,387.7643285,286.866875,268.5796043,861.0629365,69.86192068,677.6111821,172.8200515,344.5058934,61.54303413,PortScan
625.4334502,808.2682112,69.03693691,334.7890419,313.7031248,635.645322,355.9577735,148.5067816,596.4670754,814.3839207,DoS
636.0960464,913.2869476,612.5734683,873.6985935,723.9730555,120.5584164,902.4533073,66.44384436,533.9674725,142.1371238,BENIGN
827.5189221,764.5277947,573.5289515,956.0471436,200.4745155,109.2642103,853.961967,439.1498166,846.9688542,893.0902052,BENIGN
455.6567528,620.1325978,277.381183,188.1211597,463.6984049,353.352228,583.6561119,77.73463696,974.3948077,986.2107445,BENIGN
562.1108826,5.864727887,78.50986845,881.2580678,77.87898909,706.8035962,920.0381641,270.6836043,370.4914371,568.9214058,PortScan
450.2542461,957.5810151,399.0353176,839.8016067,188.5406057,672.460498,977.0069544,101.8931009,8.319942227,433.5827926,DoS
90.93544991,923.223747,689.2793212,127.1026138,356.7231693,592.4829939,835.5717051,43.66092871,236.6331315,889.7489903,PortScan
388.1657061,674.1302955,259.9049792,345.1922085,917.4858431,290.5045057,469.9882682,890.1411374,707.7213503,62.20322616,BENIGN
462.3614472,390.0660657,863.5770031,929.2609752,303.4532164,863.9358075,781.5231295,930.8076723,245.7503122,576.9591501,PortScan
36.16038052,303.1283559,263.1125699,360.1364075,87.64274676,936.957823,553.8022407,305.5243107,396.9815171,447.2025405,BENIGN
559.2181318,514.7421938,99.57971354,16.02815646,963.6851887,376.9861673,603.2130621,79.71507319,683.1142857,932.5667087,DoS
355.9726787,757.8461105,14.39348863,116.0726405,46.00264202,40.72880232,855.460584,703.6578594,474.1738291,97.83416065,BENIGN
438.9714207,78.45638134,25.35074342,962.6484147,835.9801205,695.9742061,408.9529444,173.2943201,156.4370427,250.2428982,BENIGN
459.6327544,223.6025483,933.4551052,344.5965957,160.9844317,563.1643885,943.7741203,3.8302905,238.1248433,938.4476404,PortScan
866.1015454,289.4395216,467.6812125,619.3899694,411.1904759,427.4864541,330.2846675,564.2318167,850.574528,201.528378,DoS
387.9727544,829.5658314,133.6956544,935.3944897,751.4233175,941.3343928,676.6172336,363.403932,938.1811725,275.5667763,DoS
80.61540517,939.568589,755.1336174,586.6239183,828.4386709,80.18675681,476.8388777,630.0931269,828.6529061,783.46956,DoS
942.7317741,649.646649,607.7367949,512.688511,230.6698117,176.528032,220.4862091,186.4382621,779.5844736,350.1252592,BENIGN
110.631737,846.4522917,127.4886623,397.2872906,797.2953658,149.9174273,229.2513952,722.2525684,720.0365365,641.1476329,BENIGN
293.3534214,525.4703074,697.8327855,900.2641112,792.1911948,676.3610679,679.6331824,945.924644,295.8240975,1.112094196,DoS
270.806328,247.5597703,62.52629574,458.9405166,732.7334748,606.7317247,672.8716686,81.14917854,951.4907102,838.4918338,DoS
802.8534486,4.632023005,333.4991717,398.1686936,537.3956029,919.8556164,346.3459944,346.9532019,737.5012481,452.2179409,BENIGN
160.3654061,673.6454175,179.2532557,693.9495905,229.5981608,117.5513002,165.2844901,1.992135219,718.7396179,732.4010491,DoS
603.7927573,298.9261501,410.8163956,217.6997989,966.0214591,130.6343816,371.8367846,25.83897222,221.7794919,780.4711384,PortScan
320.5632244,93.5201236,427.1124464,128.7544374,947.6236585,475.170866,317.2591744,766.3040711,497.9485926,310.034024,PortScan
141.2235434,570.8774168,185.2703554,278.6430631,218.7098003,182.8377799,825.7109516,285.7075677,927.1237819,969.9265253,DoS
382.1234945,132.2687151,196.6881973,237.4833052,299.897593,642.7950705,600.9454845,696.0798616,362.5019845,823.9976519,DoS
945.7497022,312.919548,858.5064546,131.6869034,705.0409064,741.9777295,677.7232412,252.3147361,873.043147,168.8584634,DoS
969.5846278,775.1328234,939.4989416,894.8273504,597.8999788,921.874235,88.49250205,195.9828624,45.22728891,325.3303308,BENIGN
954.0510273,606.1746345,228.6428055,671.7006844,618.1282405,358.162718,113.5575922,671.5731956,520.3077009,772.3183917,BENIGN
944.0412783,396.2772625,693.8633423,489.3227475,512.5762159,267.7743146,454.9507768,470.784997,706.6425217,940.6399992,PortScan
857.2309374,764.6509504,146.695114,690.3228469,945.0240646,682.5404788,331.6168491,500.5793174,645.7250434,510.5704087,DoS
519.2245708,607.7526831,245.3523142,57.73215923,391.0328691,234.2033709,219.5539232,959.8628027,616.3004859,556.8784432,DoS
237.4785568,49.61437334,724.5982868,111.593,608.3195,281.0497502,173.4960504,379.7515229,801.4457762,392.0935769,DoS
663.6711654,936.8297393,732.5720972,214.9403786,31.18313506,262.2640443,595.0779307,51.42581348,496.3662472,596.8428489,BENIGN
874.3073341,830.6227604,224.6573976,399.3325802,409.6728693,978.2206685,180.8919014,799.1579711,334.1927142,730.8703458,DoS
762.1296205,936.1765642,940.7508592,174.7812849,874.7436497,737.4314414,252.8374007,67.28461292,267.9972669,912.2082368,DoS
116.4455241,596.4745775,274.979192,79.64512903,429.6027434,554.3225981,328.7459883,720.4337022,643.7706081,332.8183611,PortScan
652.2811128,405.1971426,596.0435955,107.4505526,16.91279992,909.5644274,269.6300088,819.6770028,999.3503005,211.431258,DoS
548.9325245,219.3204012,428.8874314,652.2640059,727.1311969,0.716858707,936.8534301,164.5253724,233.5804342,263.4734457,PortScan
294.4488921,385.0977286,851.1366715,316.9220052,169.4927467,556.8012625,936.1547742,696.0297967,570.0611701,97.17649377,BENIGN
13.09445659,663.537372,178.0359669,961.0703175,148.6627278,414.6241237,85.34966808,996.8742518,502.1950103,595.3850173,BENIGN
31.42918569,636.4104113,314.3559811,508.5706912,907.5664739,249.2922291,410.382923,755.5511385,228.7981655,76.97990983,BENIGN
889.1279239,578.8067545,632.3913243,156.476716,473.9212201,716.397112,270.9426983,202.2541805,313.8268082,241.500628,DoS
553.7114854,541.7048124,761.9018126,833.6499619,440.4413503,302.3332494,259.3348973,194.6238367,57.6475822,342.4479788,BENIGN
355.0152661,481.9001671,503.1335547,315.9358224,729.2402491,874.7470735,938.719302,805.0933768,850.5801973,550.5453006,PortScan
297.2907903,92.06698608,599.0445872,623.6487783,648.5048201,267.4020279,15.11068421,965.0153695,250.8930457,676.0262881,DoS
406.332231,926.5853832,710.421815,418.9236248,517.2721698,84.21301118,984.5758964,666.4073047,285.4040685,585.8083942,DoS
962.9920039,341.872166,632.6218931,932.0281055,102.509728,937.2284872,687.8857223,67.83705911,300.9635669,708.1720886,BENIGN
127.8668012,765.5467505,0.011634755,416.5658285,522.5101811,54.63442,973.078163,226.1253312,304.1987196,303.9425123,BENIGN
443.9194545,21.91332878,301.0460778,502.6312426,56.17607735,491.0957294,927.1106289,105.3932181,764.4407281,409.6710534,DoS
30.50024994,37.34818875,822.6005607,360.1906414,127.0605127,522.2432601,769.9935531,215.8210275,622.8904758,85.34746499,BENIGN
520.1635011,852.1815003,551.9068388,560.9379715,876.6536027,403.4828662,134.0152285,28.78267631,755.1372557,620.3095514,BENIGN
176.8969508,987.3361586,444.1035569,531.8717665,873.6185287,995.5689005,582.7144493,812.473821,326.9410243,305.7439574,DoS
13.28120346,542.0152985,459.5629775,498.9679442,72.21318534,684.4353611,503.2204149,765.1488499,485.2906341,149.3816362,DoS
424.4928327,309.3242244,280.6355799,972.2297092,153.3648274,733.3279087,0.410289439,596.1826694,915.943004,287.9340941,PortScan
750.7696492,125.4862968,772.7714197,236.9333249,677.3931299,565.7815548,929.1447172,387.322518,66.16518883,19.15548555,DoS
984.841199,838.8980864,124.6626812,920.8418826,869.8963621,518.8380571,591.2754357,399.0027039,54.76163882,335.1972416,BENIGN
142.7856367,389.4346801,951.7024064,319.7208493,868.0981599,881.2506817,350.1865243,83.25765805,724.5579092,311.512299,PortScan
895.5628481,909.1752641,313.8780765,691.0558127,271.6331813,190.6098331,184.6324573,342.1076209,429.9576198,830.9491711,DoS
996.0127834,179.9996166,502.5476067,848.4177264,20.40161069,604.4889823,277.0254489,862.3349164,283.4611493,686.7557203,PortScan
115.1461784,883.2736014,414.8256555,387.2744114,659.6902729,442.0334209,648.2334688,61.44629013,813.7233437,940.5039529,DoS
839.207953,31.99446014,940.1798347,892.0743511,535.5219161,543.5955749,653.777923,387.0500119,647.2222834,44.76838869,PortScan
232.8791462,156.7604287,683.4294152,593.6846199,754.8274584,309.4625764,447.9716564,405.4716763,984.089464,292.2489567,DoS
198.9297798,601.6866086,60.68306895,413.3424599,546.6149397,436.0469741,748.6721753,827.9249545,771.243074,38.81294781,PortScan
866.7703545,282.478744,950.4591706,581.622293,436.6141898,580.0888347,516.6983852,758.7762538,282.496066,353.0503916,BENIGN
945.7764972,132.5740775,774.6729372,264.8163218,933.5931437,719.9595394,753.813713,219.0591731,443.0399766,617.8131946,PortScan
139.4502362,569.2064631,867.9796267,583.1057573,718.0141781,372.0435678,92.44951704,457.9002951,394.4793908,867.0601824,DoS
313.8754967,538.0227054,840.1080784,989.451131,889.519311,371.4672626,195.1665172,489.3925374,741.6414518,492.5690708,DoS
937.5503374,529.8756255,614.9030146,482.4236016,93.65745261,768.0893784,747.2246451,311.7033215,306.2392452,837.8413809,PortScan
673.5167868,115.0109368,694.8207299,441.5472889,944.9847856,141.6113506,642.8333908,381.9800455,956.8146706,329.9748953,PortScan
233.6247636,409.5609273,780.0840237,771.2248153,228.1003779,922.2233182,592.5681828,379.924291,501.9355808,605.0712534,PortScan
757.2829783,897.9646468,84.12766226,393.1039076,100.2455637,16.59248063,661.7186826,602.449442,163.0191138,233.8128331,DoS
393.6355203,473.4356594,854.5473932,340.0043861,869.6496848,88.13443098,776.7984372,847.5476331,181.8176528,430.3465324,DoS
769.4488941,397.865703,827.5530523,170.7083633,30.46368631,204.4483725,340.4115561,510.5807575,615.1291405,910.6057172,DoS
129.0364089,430.316428,274.7050328,887.7515247,40.58571213,913.727494,832.9941386,297.5707164,789.2906547,31.21356034,PortScan
284.1842957,288.9685249,377.053931,393.3206704,544.5553247,159.8797634,691.2466638,167.5665393,310.3084821,503.3451306,DoS
